entity;facility;own_facility;classification_fuel_rawmaterial;emissions_activites;detailed_desc;types_of_fuel;detailed_desc_fuel;date_collection;january;february;maret;april;may;june;july;augustus;september;october;november;december;fuel_usage;unit;fuel_consumption(Kg);energy_consumption(MJ);ghg_emissions(tCO2eq);kgCO2;kgCH4;kgN2O;updated_by;updated_date
HOJEON LIMITED;HOJEON LIMITED Co., Ltd;Vehicle;Fuel;Mobile combustion;차량 운행;Automotive gasoline (petrol);;2022;1,792816598;1,632421295;1,647184726;2,034723823;1,981476067;1,539064095;2,095113058;2,086483266;2,073764749;1,573817155;1,347480955;2,09191357;21,89625936;㎥;16225,12818;718773,1785;49,98693695;49810,98127;2,156319536;0,431263907;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Vehicle;Fuel;Mobile combustion fuels and vehicle;manager-level operational vehicles;Automotive gasoline (petrol);RON 90 (called Pertalite);2022;2,6508;1,94136;2,56895;2,61433;1,80482;2,89079;2,89508;2,83213;2,59511;2,39294;2,50454;2,56362;30,25447;㎥;22418,56227;993142,3086;69,06788322;68824,76198;2,979426926;0,595885385;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Boiler;Fuel;Stationary combustion fuels and equipment - Solid Fuel;converts boiler combustion to produce heat that is used for steam ironing and fabric relaxation.;Industrial Wastes;Fabric Waste from Production;2022;24973;22164;29643;26953;19481;26867;24545;27071;31734;29833;30496;29630;323390;kg;323390;7035936,545;1019,521277;1006138,926;211,0780964;28,14374618;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Forklift;Fuel;Mobile combustion fuels and vehicle;to transport heavy weight item from one location to another location using forklift;Biodiesel;Biosolar (B30);2022;0,13;0,13;0,14;0,14;0,12;0,12;0,13;0,14;0,14;0,12;0,12;0,12;1,55;㎥;1309,75;35363,25;2,512375024;2503,7181;0,10608975;0,02121795;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Kitchen;Fuel;Stationary combustion fuels and equipment - Gaseous Fuel;coocking food;Liquefied Petroleum Gas (LPG);LPG 12 KG;2022;36;36;24;24;12;24;36;24;12;24;48;12;312;kg;312;14757,6;0,932005898;931,20456;0,0147576;0,00147576;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Mess;Fuel;Stationary combustion;;Liquefied Petroleum Gas (LPG);LPG 12 KG;2022;72;72;72;84;72;85,15;74,3;86,3;73,84;74,3;73,84;62,3;902,03;kg;902,03;42666,019;2,694542564;2692,225799;0,042666019;0,004266602;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Generator;Fuel;Stationary combustion;;Gas / Diesel oil;SOLAR;2022;0,1;0,1;0,15;0,2;0,1;0,1;0,1;0,1;0,2;0,05;0,05;0,4;1,65;㎥;1392,6;59881,8;4,451900445;4437,24138;0,1796454;0,03592908;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Boiler;Fuel;Stationary combustion;;Industrial Wastes;FABRIC WASTE FROM CUTTING;2022;40450;36650;29700;28350;21600;29700;28350;31050;31050;28350;29700;29700;364650;kg;364650;7933622,75;1149,597804;1134508,053;238,0086825;31,734491;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-410A;2022;0;0;0;0;11,3;0;0;0;11,3;0;11,3;0;33,9;kg;33,9;0;76,46145;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Others;;ETC;HCFC-22;2022;0;0;0;0;0;0;0;13,6;0;0;27,2;0;40,8;kg;40,8;0;79,968;0;0;0;;
